0000003188;scans;0000000046;DataLength
"header";0000000028;"lines"
"Date";2021-01-25;"Time";14:02:33
"ID";"HAL RC PIC-RGA 301 #15598";"Version";3
"Scans";2
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";284,00;284,00;0,01;200,000;100,000%;1,000000;1,000000;
"Scan 2";"RGA";"Temperature";"none";284,00;284,00;0,01;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";38,0;"V"
"emission";700,000;"uA"
"focus";-90;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = high/rise, 1 = low/fall)"
"mass";5,50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"resolution";-100;"%"
"Data";2
"Time";"ms";"DHTA+";"Temperatura";
00:00:01;      1361;          0;   100,4870;
00:00:01;      1694;          0;   100,4870;
00:00:02;      2027;          0;   100,5511;
00:00:02;      2361;          0;   101,8977;
00:00:02;      2694;          0;   104,2062;
00:00:03;      3028;          0;   105,8734;
00:00:03;      3361;          0;   106,2582;
00:00:03;      3694;          0;   107,3483;
00:00:04;      4028;          0;   108,2461;
00:00:04;      4361;          0;   108,9514;
00:00:04;      4694;          0;   109,7209;
00:00:05;      5028;          0;   109,3362;
00:00:05;      5361;          0;   109,6568;
00:00:05;      5694;          0;   110,2980;
00:00:06;      6028;          0;   110,7469;
00:00:06;      6361;          0;   543,7815;
00:00:06;      6694;          0;  1107,4381;
00:00:07;      7028;          0;  1247,3584;
00:00:07;      7361;          0;   824,5838;
00:00:07;      7694;          0;   290,2963;
00:00:08;      8028;          0;   157,3656;
00:00:08;      8361;          0;   123,7001;
00:00:08;      8694;          0;   115,2998;
00:00:09;      9028;          0;   112,9272;
00:00:09;      9361;          0;   231,3015;
00:00:09;      9694;          0;  1034,9129;
00:00:10;     10028;          0;   455,7382;
00:00:10;     10361;          0;   198,3413;
00:00:10;     10694;          0;   134,4731;
00:00:11;     11028;          0;   118,3136;
00:00:11;     11361;          0;   114,3379;
00:00:11;     11694;          0;   113,5684;
00:00:12;     12028;          0;   112,7989;
00:00:12;     12361;          0;   112,4783;
00:00:12;     12694;          0;   112,6707;
00:00:13;     13028;          0;   112,2218;
00:00:13;     13361;          0;   111,7088;
00:00:13;     13694;          0;   111,1317;
00:00:14;     14028;          0;   111,4523;
00:00:14;     14361;          0;   757,8299;
00:00:14;     14694;          0;  1159,8280;
00:00:15;     15028;          0;   914,9356;
00:00:15;     15361;          0;   310,7521;
00:00:15;     15694;          0;   161,4696;
00:00:16;     16028;          0;   124,5979;
00:00:16;     16361;          0;   115,8128;
00:00:16;     16694;          0;   113,5043;
00:00:17;     17028;          0;   991,9494;
00:00:17;     17361;          0;   793,6756;
00:00:17;     17694;          0;   277,8560;
00:00:18;     18028;          0;   151,9150;
00:00:18;     18361;          0;   121,8405;
00:00:18;     18694;          0;   114,7227;
00:00:19;     19028;          0;   112,7348;
00:00:19;     19361;          0;   112,4142;
00:00:19;     19694;          0;   112,7348;
00:00:20;     20028;          0;   112,6707;
00:00:20;     20361;          5;   112,0935;
00:00:20;     20694;          0;   112,0294;
00:00:21;     21028;          0;   112,8630;
00:00:21;     21361;          0;   112,7989;
00:00:21;     21694;          0;   112,7989;
00:00:22;     22028;          0;   113,3119;
00:00:22;     22361;          0;   113,4402;
00:00:22;     22694;          0;   113,1837;
00:00:23;     23028;          0;   113,2478;
00:00:23;     23361;          0;   113,4402;
00:00:23;     23694;          0;   113,6967;
00:00:24;     24028;          0;   113,5043;
00:00:24;     24361;          0;   113,5043;
00:00:24;     24694;          0;   113,3119;
00:00:25;     25028;          0;   113,0554;
00:00:25;     25361;          0;   113,0554;
00:00:25;     25694;          0;   113,2478;
00:00:26;     26028;          0;   113,3760;
00:00:26;     26361;          0;   113,1195;
00:00:26;     26694;          0;   113,6325;
00:00:27;     27028;          0;   114,0814;
00:00:27;     27361;          0;   114,1455;
00:00:27;     27694;          0;   114,7868;
00:00:28;     28028;          0;   114,7227;
00:00:28;     28361;          0;   114,0814;
00:00:28;     28694;          0;   114,3379;
00:00:29;     29028;          0;   113,8249;
00:00:29;     29361;          0;   113,4402;
00:00:29;     29694;          0;   113,9532;
00:00:30;     30028;          0;   114,2738;
00:00:30;     30361;          0;   114,5944;
00:00:30;     30694;          0;   115,0433;
00:00:31;     31028;          0;   114,5303;
00:00:31;     31361;          0;   114,5303;
00:00:31;     31694;          0;   115,0433;
00:00:32;     32028;          0;   115,0433;
00:00:32;     32361;          0;   115,1715;
00:00:32;     32694;          0;   115,7486;
00:00:33;     33028;          0;   115,4921;
00:00:33;     33361;          0;   116,3899;
00:00:33;     33694;          0;   117,2235;
00:00:34;     34028;          0;   116,9670;
00:00:34;     34361;          0;   117,1594;
00:00:34;     34694;          0;   117,0953;
00:00:35;     35028;          0;   117,3518;
00:00:35;     35361;          0;   938,9182;
00:00:35;     35694;          0;   586,8733;
00:00:36;     36028;          0;   230,9167;
00:00:36;     36361;          0;   143,8994;
00:00:36;     36694;          0;   122,2252;
00:00:37;     37028;          0;   117,8648;
00:00:37;     37361;          0;   117,2876;
00:00:37;     37694;          0;   117,4800;
00:00:38;     38028;          0;   117,6724;
00:00:38;     38361;          0;   117,7365;
00:00:38;     38694;          0;   118,5060;
00:00:39;     39028;          0;   118,7625;
00:00:39;     39361;          0;   118,8266;
00:00:39;     39694;          0;   119,0190;
00:00:40;     40028;          0;   119,3396;
00:00:40;     40361;          0;   119,7885;
00:00:40;     40694;          0;   119,9809;
00:00:41;     41028;          0;   120,1091;
00:00:41;     41361;          0;   120,1091;
00:00:41;     41694;          0;   120,3656;
00:00:42;     42028;          0;   120,6221;
00:00:42;     42361;          0;   120,6863;
00:00:42;     42694;          0;   121,1993;
00:00:43;     43028;          0;   121,1351;
00:00:43;     43361;          0;   121,5840;
00:00:43;     43694;          0;   122,0970;
00:00:44;     44028;          0;   122,6741;
00:00:44;     44361;          0;   123,1871;
00:00:44;     44694;          0;   123,4436;
00:00:45;     45028;          0;   123,2512;
00:00:45;     45361;          0;   123,8284;
00:00:45;     45694;          0;   124,2772;
00:00:46;     46028;          0;   124,4696;
00:00:46;     46361;          0;   125,3032;
00:00:46;     46694;          0;   125,9445;
00:00:47;     47028;          0;   126,6499;
00:00:47;     47361;          5;   127,0346;
00:00:47;     47694;          0;   127,4835;
00:00:48;     48028;          0;   127,6759;
00:00:48;     48361;          0;   128,3812;
00:00:48;     48694;          0;   128,5736;
00:00:49;     49028;          0;   128,8942;
00:00:49;     49361;          5;   129,3431;
00:00:49;     49694;          0;   130,0485;
00:00:50;     50028;          0;   130,7538;
00:00:50;     50361;          0;   131,0745;
00:00:50;     50694;          0;   131,5875;
00:00:51;     51028;          0;   131,9081;
00:00:51;     51361;          5;   132,4852;
00:00:51;     51694;          0;   132,9982;
00:00:52;     52028;          5;   133,2547;
00:00:52;     52361;          0;   134,0242;
00:00:52;     52694;          5;   134,3448;
00:00:53;     53028;          5;   621,3083;
00:00:53;     53361;         15;  1126,1626;
00:00:53;     53694;         10;  1251,9753;
00:00:54;     54028;          0;   535,9582;
00:00:54;     54361;         10;   238,0987;
00:00:54;     54694;          5;   163,6498;
00:00:55;     55028;         10;   144,8613;
00:00:55;     55361;          0;   140,5649;
00:00:55;     55694;          5;   139,3466;
00:00:56;     56028;         15;   139,6031;
00:00:56;     56361;          5;   139,7313;
00:00:56;     56694;         10;   139,7954;
00:00:57;     57028;         25;   140,0519;
00:00:57;     57361;          5;   140,5649;
00:00:57;     57694;         10;   141,0138;
00:00:58;     58028;         10;   141,5268;
00:00:58;     58361;         15;   141,9115;
00:00:58;     58694;         10;   142,1680;
00:00:59;     59028;         10;   142,5528;
00:00:59;     59361;         15;   143,2582;
00:00:59;     59694;         10;   143,5788;
00:01:00;     60028;         10;   144,0918;
00:01:00;     60361;         15;   144,5407;
00:01:00;     60694;         35;   144,9254;
00:01:01;     61028;         10;   145,3102;
00:01:01;     61361;         15;   145,5667;
00:01:01;     61694;         20;   145,5025;
00:01:02;     62028;         20;   146,0797;
00:01:02;     62361;          0;   146,4644;
00:01:02;     62694;         30;   146,5285;
00:01:03;     63028;         10;   146,8492;
00:01:03;     63361;         20;   147,1057;
00:01:03;     63694;         15;   147,7469;
00:01:04;     64028;          5;   148,0034;
00:01:04;     64361;         15;   148,1958;
00:01:04;     64694;          5;   148,6447;
00:01:05;     65028;         30;   148,8370;
00:01:05;     65361;         20;   149,0294;
00:01:05;     65694;          5;   149,2859;
00:01:06;     66028;         10;   149,5424;
00:01:06;     66361;         15;   149,7348;
00:01:06;     66694;          5;   150,1195;
